Name,Time,Dir,Alt,Mag
LITUANICASAT-2,19:56:11,ESE,10°,6
AEROCUBE 7C,19:56:32,WSW,10°,8.5
QBITO,19:56:35,W,10°,9.1
FLOCK 3P-43,19:56:36,ENE,10°,6
FLOCK 3P-49,19:56:49,ENE,10°,6
AEROCUBE 7B,19:56:55,WSW,10°,8.5
EXOCUBE,19:56:56,ENE,10°,6.3
GOES 13,19:56:59,ESE,12°,12.9
GOES 14,19:56:59,SSE,33°,13.1
GOES 15,19:56:59,SSW,34°,13.7
GOES 16,19:56:59,SE,19°,12.9
FLOCK 2P-11,19:57:05,ENE,10°,6
LINK,19:57:20,W,10°,9.1
FLOCK 3P-50,19:57:26,E,10°,6
COSMOS 2278,19:57:33,NW,10°,8.1
COSMOS 2278,19:57:33,NW,10°,8.1
FLOCK 2E'-6,19:57:38,WNW,10°,8.6
SEEDS II (CO-66),19:57:41,WSW,10°,9.2
COSMOS 2500 [GLONASS-M],19:57:51,SSW,11°,12.9
LEMUR-2-MCPEAKE,19:57:51,ESE,10°,6
NAVSTAR 70 (USA 251),19:58:59,SSE,10°,12.4
UWE-3,19:59:07,SW,10°,8.4
TOKI,19:59:10,W,10°,9
FLOCK 3P-52,20:00:05,E,10°,6
FLOCK 2E'-1,20:00:14,WNW,10°,8.6
COSMOS 2389,20:00:43,NNE,11°,7.5
LEMUR-2-SPIRE-MINIONS,20:00:56,E,10°,6
FLOCK 3P-30,20:01:20,E,10°,6
FLOCK 2E'-13,20:01:53,WNW,10°,8.9
FLOCK 3P-65,20:01:53,E,10°,6
IRIDIUM 50,20:02:06,N,10°,9
APRIZESAT 10,20:02:08,NE,13°,6.6
APRIZESAT 10,20:02:08,NE,13°,6.6
SL-16 R/B,20:02:10,SW,10°,6.5
SL-16 R/B,20:02:10,SW,10°,6.5
FLOCK 3P-51,20:02:26,E,10°,6
D-SAT,20:02:54,ESE,10°,6.1
TIANWANG 1A (TW-1A),20:03:11,SSW,10°,7.3
SL-16 R/B,20:03:30,NNE,10°,4.9
SL-16 R/B,20:03:30,NNE,10°,4.9
ERS-2,20:03:35,WSW,10°,7.3
ERS-2,20:03:35,WSW,10°,7.3
LEMUR-2-SAM-AMELIA,20:03:54,ESE,10°,6
FLOCK 2P-1,20:04:00,E,10°,6
FLOCK 3P-66,20:04:25,E,10°,6
FLOCK 2E'-3,20:04:25,WNW,10°,8.6
LILACSAT-1,20:04:40,W,10°,9
ARIANE 40 R/B,20:04:41,SW,10°,8
ARIANE 40 R/B,20:04:41,SW,10°,8
FLOCK 3P-68,20:05:02,E,10°,6
SHARC,20:05:08,W,10°,9
FLOCK 3P-1,20:05:24,E,10°,6
NSIGHT-1,20:05:50,W,10°,9
FLOCK 3P-85,20:05:50,E,10°,6
UNIBRITE,20:06:16,N,10°,7.6
UNIBRITE,20:06:16,N,10°,7.6
OSIRIS-3U,20:06:22,WSW,10°,8.8
FLOCK 2E'-5,20:06:24,WNW,10°,8.6
ZA-AEROSAT,20:06:37,W,10°,9
ZACUBE-1 (TSHEPISOSAT),20:06:39,SSW,10°,7.8
FLOCK 3P-79,20:07:07,E,10°,6
COSMOS 2428,20:07:37,N,10°,5.7
COSMOS 2428,20:07:37,N,10°,5.7
FLOCK 2P-12,20:08:00,E,10°,5.9
IRIDIUM 4,20:08:07,NW,10°,10.3
FLOCK 2E'-19,20:08:45,WNW,10°,8.7
IRIDIUM 36,20:08:48,NW,10°,10.4
FUNCUBE-1 (AO-73),20:09:03,SSW,10°,7.7
FLOCK 3P-86,20:09:14,E,10°,6
FLOCK 3P-81,20:09:26,E,10°,6
BEEAGLESAT,20:09:35,W,10°,9
OUFTI-1,20:09:45,SSE,10°,6.7
SNUSAT-1,20:10:09,W,10°,9
CUBEBUG-2 (LO-74),20:11:06,W,10°,9.7
IRIDIUM 56,20:11:11,N,10°,8.5
LEMUR-2-LYNSEY-SYMO,20:11:49,ESE,10°,6.1
FLOCK 3P-36,20:12:07,ESE,10°,6
FLOCK 2P-2,20:12:31,ESE,10°,6
DUTHSAT,20:12:47,W,10°,8.9
QBEE50-LTU-OC,20:13:01,W,10°,9
FLOCK 3P-33,20:13:20,ESE,10°,6
SL-16 R/B,20:13:28,NW,10°,7
SL-16 R/B,20:13:28,NW,10°,7
BEESAT-4,20:13:46,ESE,10°,6
FLOCK 3P-60,20:14:19,ESE,10°,6
SL-3 R/B,20:14:27,NNW,10°,6.4
SL-3 R/B,20:14:27,NNW,10°,6.4
COSMOS 2485 [GLONASS-M],20:14:57,NNW,10°,13.3
ORSTED,20:15:07,NNE,10°,10.3
ORSTED,20:15:07,NNE,10°,10.3
TIANWANG 1B (TW-1B),20:15:08,S,10°,6.8
NEOSSAT,20:15:09,N,10°,7.7
NEOSSAT,20:15:09,N,10°,7.7
WASEDA-SAT3,20:15:45,WNW,10°,8.8
FLOCK 3P-82,20:16:02,ESE,10°,6
FLOCK 3P-69,20:16:10,ESE,10°,6
FLOCK 3P-34,20:16:25,ESE,10°,6
SL-8 R/B,20:16:59,S,15°,6.6
SL-8 R/B,20:16:59,S,15°,6.6
FLOCK 2E-2,20:17:06,W,10°,7.6
GSAT0102 (GALILEO-FM2),20:17:13,SSW,10°,13.3
COMPASS-1,20:17:23,WSW,10°,8.9
FORMOSAT-3 FM4,20:17:25,SE,10°,10
FORMOSAT-3 FM4,20:17:25,SE,10°,10
FORMOSAT-3 FM4,20:17:25,SE,10°,10
FLOCK 3P-72,20:17:41,ESE,10°,6
DELTA 2 R/B(1),20:17:52,SW,10°,7.8
DELTA 2 R/B(1),20:17:52,SW,10°,7.8
FLOCK 3P-76,20:18:14,ESE,10°,6
STARS-C,20:18:55,WNW,10°,8.3
LEMUR-2-RDEATON,20:19:49,ESE,10°,6
FLOCK 3P-77,20:20:04,ESE,10°,6
ALTAIR PATHFINDER,20:20:07,W,10°,8.9
PROBA-2,20:20:10,NNW,10°,9.1
PROBA-2,20:20:10,NNW,10°,9.1
ENVISAT,20:20:17,SSW,10°,6.1
ENVISAT,20:20:17,SSW,10°,6.1
MAZAALAI (NUMSAT-1),20:20:18,W,10°,8.9
IRIDIUM 52,20:20:19,N,10°,9.2
IRIDIUM 2,20:20:55,N,12°,6.8
FLOCK 3P-35,20:21:04,ESE,10°,6
FENGYUN 3C,20:21:36,ESE,10°,6.3
FENGYUN 3C,20:21:36,ESE,10°,6.3
PEGASUS,20:21:40,SE,10°,6.1
INS-1B,20:21:55,ESE,10°,6
NAVSTAR 59 (USA 192),20:21:58,W,10°,15.1
FLOCK 2E'-14,20:22:02,WNW,10°,8.7
PROBA-V,20:22:12,E,10°,8.2
PROBA-V,20:22:12,E,10°,8.2
BRAC ONNESHA,20:22:30,W,10°,8.8
LEMUR-2-LISASAURUS,20:22:37,SE,10°,6.1
FLOCK 2P-5,20:22:54,ESE,10°,6
FLOCK 3P-7,20:22:55,ESE,10°,6
DELFI-C3 (DO-64),20:23:18,SE,10°,6.4
FLOCK 3P-78,20:23:48,ESE,10°,6
SDO,20:23:58,SSE,10°,13.3
ALSAT 1N,20:24:40,SE,10°,6.6
GHANASAT-1,20:25:48,W,10°,8.8
GENESIS 1,20:25:52,NW,10°,8.1
GENESIS 1,20:25:52,NW,10°,8.1
FLOCK 3P-87,20:25:52,ESE,10°,6
GENESIS 1,20:25:52,NW,10°,8.1
LAGEOS 1,20:26:14,NE,15°,10.1
FLOCK 3P-88,20:26:32,ESE,10°,6
GSAT0218 (GALILEO 22),20:26:43,WNW,30°,13.9
FLOCK 3P-59,20:26:52,ESE,10°,6
PHOENIX,20:27:18,W,10°,8.8
FLOCK 3P-29,20:27:41,ESE,10°,6
PISAT,20:28:11,SE,10°,6.7
PISAT,20:28:11,SE,10°,6.7
PISAT,20:28:11,SE,10°,6.7
FLOCK 2P-9,20:29:10,ESE,10°,6
IRIDIUM 53,20:29:28,N,10°,8.8
FLOCK 3P-84,20:30:15,ESE,10°,6
FLOCK 3P-70,20:31:12,ESE,10°,6.1
LEMUR-2-SMITA-SHARAD,20:31:26,SE,10°,6.1
OBJECT T,20:31:45,SE,10°,5.6
FLOCK 3P-10,20:32:22,SE,10°,6.1
HUMSAT-D,20:32:39,SE,10°,6.5
LEMUR-2-TACHIKOMA,20:33:08,SE,10°,6.1
METOP-A,20:33:17,SSE,10°,6.3
METOP-A,20:33:17,SSE,10°,6.3
FLOCK 3P-75,20:33:28,SE,10°,6.1
DIAMOND BLUE,20:34:08,SE,10°,6.2
CICERO 6,20:34:51,SE,10°,6.2
FLOCK 3P-57,20:35:14,SE,10°,6.1
DIAMOND GREEN,20:35:33,SE,10°,6.2
LEMUR-2-SPIROVISION,20:35:34,SSE,10°,6.2
FLOCK 2E'-16,20:35:55,WNW,10°,8.5
FLOCK 2E'-12,20:36:07,W,10°,8.1
SDO,20:36:18,SSE,11°,13.2
FLOCK 3P-32,20:36:29,SE,10°,6.1
SWARM A,20:36:32,E,10°,5.8
SWARM A,20:36:32,E,10°,5.8
DIAMOND RED,20:36:45,SE,10°,6.2
SUPERVIEW-1 03,20:36:46,ENE,10°,6.2
UPSAT,20:36:56,WNW,10°,8.7
FLOCK 2P-10,20:37:00,SE,10°,6.1
OBJECT AK,20:37:10,SE,10°,6.2
POLAR,20:37:12,NNW,41°,13.3
LEMUR-2-JOBANPUTRA,20:37:13,SE,10°,6.1
HOOPOE,20:37:55,WNW,10°,8.7
FLOCK 3P-62,20:38:06,SE,10°,6.1
FLOCK 2E-3,20:38:17,WNW,10°,8.4
NIGERIAEDUSAT-1,20:38:19,W,10°,8.7
FLOCK 2E-7,20:38:24,W,10°,8.4
FLOCK 3P-74,20:38:24,SE,10°,6.1
IRIDIUM 84,20:38:40,N,10°,8.9
FLOCK 2E'-11,20:38:44,W,10°,8.4
IRIDIUM 38,20:38:59,NE,10°,7.8
STSAT-3,20:39:16,SSE,10°,6.6
STSAT-3,20:39:16,SSE,10°,6.6
FLOCK 3P-55,20:39:26,SE,10°,6.1
OBJECT AJ,20:39:35,SE,10°,6.2
AAUSAT 4,20:40:08,S,11°,6.9
FLOCK 3P-31,20:40:18,SE,10°,6.1
CHALLENGER,20:40:40,WNW,10°,8.6
CRYOSAT 2,20:41:17,N,10°,7.4
CRYOSAT 2,20:41:17,N,10°,7.4
CZ-2D DEB,20:41:18,E,10°,6.1
FLOCK 3P-17,20:41:27,SE,10°,6.1
LEMUR-2-LUCYBRYCE,20:41:40,SSE,10°,6.3
PEASSS,20:41:45,SE,10°,6.1
SUSAT,20:41:48,WNW,10°,8.6
FLOCK 3P-83,20:42:01,SE,10°,6.1
FLOCK 3P-24,20:42:05,SE,10°,6.1
CZ-2C R/B,20:42:15,ENE,10°,5.2
CZ-2C R/B,20:42:15,ENE,10°,5.2
FLOCK 2E-12,20:42:38,W,10°,8.3
LEMUR-2-TRUTNAHD,20:42:43,WNW,10°,8.6
OBJECT AH,20:43:50,SSE,10°,6.3
SPACECUBE,20:43:51,WNW,10°,8.6
SNUSAT-1B,20:43:52,WNW,10°,8.6
OBJECT AG,20:43:58,SSE,10°,6.3
OBJECT AF,20:44:05,SSE,10°,6.3
CXBN-2,20:44:08,WNW,10°,8.6
OBJECT AE,20:44:10,SSE,10°,6.3
SL-16 R/B,20:44:14,NNW,10°,6.1
SL-16 R/B,20:44:14,NNW,10°,6.1
OBJECT AD,20:44:24,SSE,10°,6.3
OKEAN-3,20:44:37,NE,10°,6.1
OKEAN-3,20:44:37,NE,10°,6.1
FLOCK 3P-73,20:44:42,SE,10°,6.1
FOX-1D (AO-92),20:44:58,SSE,10°,6.3
SOMP 2,20:45:20,WNW,10°,8.6
APRIZESAT 8,20:45:25,SW,10°,8.3
APRIZESAT 8,20:45:25,SW,10°,8.3
FLOCK 2P-3,20:45:31,SE,10°,6.1
OBJECT AB,20:45:35,SSE,10°,6.3
CZ-2D R/B,20:45:36,WSW,10°,7.7
CZ-2D R/B,20:45:36,WSW,10°,7.7
FLOCK 3P-12,20:45:39,SE,10°,6.1
FLOCK 2E'-18,20:45:43,WNW,10°,8.5
TECHEDSAT 6,20:45:54,W,10°,8.6
OBJECT AA,20:45:54,SSE,10°,6.3
OBJECT Z,20:46:19,SSE,10°,6.3
FLOCK 3P-58,20:46:48,SE,10°,6.1
ISS (ZARYA),20:46:56,W,10°,1.3
OBJECT Y,20:46:56,SSE,10°,6.3
ISS (ZARYA),20:46:56,W,10°,1.3
PROGRESS-MS 07,20:46:56,W,10°,8.6
SOYUZ-MS 06,20:46:56,W,10°,8.6
SOYUZ-MS 07,20:46:56,W,10°,8.6
OBJECT X,20:47:04,SSE,10°,6.3
PICSAT,20:47:05,SSE,10°,6.3
OBJECT S,20:47:32,SSE,10°,6.3
OBJECT V,20:47:35,SSE,10°,6.3
ARIANE 40 R/B,20:47:49,SSE,10°,5.2
ARIANE 40 R/B,20:47:49,SSE,10°,5.2
IRIDIUM 10,20:47:51,N,10°,9
OBJECT R,20:47:57,SSE,10°,6.3
FLOCK 3P-5,20:47:58,SE,10°,6.2
ATLANTIS,20:48:05,WNW,10°,8.3
AOBA-VELOX 3,20:48:12,WNW,10°,8.4
SL-8 R/B,20:48:17,N,10°,7
SL-8 R/B,20:48:17,N,10°,7
OBJECT Q,20:48:27,SSE,10°,6.3
FLOCK 3P-8,20:49:00,SE,10°,6.2
OBJECT P,20:49:03,SSE,10°,6.3
OBJECT N,20:49:06,SSE,10°,6.3
I-INSPIRE II,20:49:12,WNW,10°,8.5
NAVSTAR 56 (USA 180),20:49:33,S,10°,12.5
OBJECT M,20:49:37,SSE,10°,6.3
LEMUR-2-TRUTNA,20:49:41,WNW,10°,8.2
SL-3 R/B,20:49:45,SSW,10°,6.3
SL-3 R/B,20:49:45,SSW,10°,6.3
OBJECT L,20:50:12,SSE,10°,6.3
OBJECT K,20:50:19,SSE,10°,6.3
OBJECT J,20:50:22,SSE,10°,6.3
OBJECT H,20:50:28,SSE,10°,6.3
FLOCK 3P-9,20:50:30,SE,10°,6.2
FLOCK 3P-18,20:50:43,SE,10°,6.2
TIANWANG 1C (TW-1C),20:50:44,SW,10°,7.6
IRIDIUM 90,20:51:12,N,10°,9
OBJECT F,20:51:16,SSE,10°,6.3
FLOCK 3P-6,20:51:31,SE,10°,6.2
VZLUSAT-1,20:51:48,SSE,10°,6.3
FLOCK 3P-11,20:52:39,SE,10°,6.2
FLOCK 2E'-17,20:52:42,WNW,10°,8.4
FLOCK 2E'-20,20:52:56,WNW,10°,8.4
SL-14 R/B,20:53:02,N,10°,7.5
SL-14 R/B,20:53:02,N,10°,7.5
APRIZESAT 7,20:53:03,SSW,10°,7.7
APRIZESAT 7,20:53:03,SSW,10°,7.7
FLOCK 3P-4,20:53:18,SE,10°,6.2
ICECUBE,20:53:20,WNW,10°,8.5
OBJECT E,20:53:34,SSE,10°,6.4
SL-16 R/B,20:53:41,N,10°,5.5
SL-16 R/B,20:53:41,N,10°,5.5
GENESIS 2,20:53:51,NNW,10°,8
GENESIS 2,20:53:51,NNW,10°,8
GENESIS 2,20:53:51,NNW,10°,8
ITF-2,20:53:55,WNW,10°,8.4
LEMUR-2-AUSTINTACIOUS,20:53:56,WNW,10°,8.4
OBJECT D,20:54:19,SSE,10°,6.4
LAGEOS 2,20:54:39,SW,16°,13
ROBUSTA-1B,20:54:53,SSE,10°,6.4
IRIDIUM 16,20:55:00,NNW,10°,9.1
FLOCK 3P-2,20:55:08,SSE,10°,6.2
FLOCK 3P-14,20:55:12,SE,10°,6.2
LEMUR-2-KUNGFOO,20:55:35,SSE,10°,6.4
FLOCK 3P-16,20:56:27,SSE,10°,6.2
FLOCK 2E'-8,20:56:44,W,10°,8
IRIDIUM 54,20:57:03,NNW,10°,9.1
OBJECT C,20:57:27,SSE,10°,6.4
BRITE-TORONTO,20:57:32,NNE,10°,7.6
BRITE-TORONTO,20:57:32,NNE,10°,7.6
FLOCK 2P-7,20:57:41,SSE,10°,6.2
EXALTA-1,20:57:42,WNW,10°,8.4
GRIFEX,20:57:49,NNE,10°,7
FLOCK 2E-1,20:57:55,WNW,10°,8.3
METEOR-M 2,20:58:10,S,10°,7.5
METEOR-M 2,20:58:10,S,10°,7.5
FLOCK 3P-28,20:58:39,SSE,10°,6.2
FLOCK 3P-37,20:58:41,SSE,10°,6.2
OBJECT B,20:58:50,SSE,10°,6.4
LEMUR-2-ANGELA,20:59:04,S,10°,6.6
LEMUR-2-REDFERN-GOES,20:59:44,WNW,10°,8.4
COSMOS 1933,20:59:45,NW,10°,8.2
COSMOS 1933,20:59:45,NW,10°,8.2
ASTERIA,21:00:09,W,10°,8.5
FLOCK 3P-3,21:00:36,SSE,10°,6.3
FLOCK 3P-71,21:00:42,SSE,10°,6.3
FLOCK 3P-53,21:01:06,SSE,10°,6.2
ISS DEB (ROSA),21:01:11,WNW,10°,7.9
IRIDIUM 44,21:01:20,NNE,13°,7.6
ISIS 1,21:01:24,E,10°,11
FLOCK 2E-10,21:01:37,W,10°,8
POLYITAN-2-SAU,21:01:41,WNW,10°,8.4
COMPASS 2,21:01:43,SSE,10°,6.5
OBJECT G,21:01:44,SSE,10°,6.5
SL-14 R/B,21:01:58,NW,10°,7.9
SL-14 R/B,21:01:58,NW,10°,7.9
URSA MAIOR,21:02:02,SSE,10°,6.5
FLOCK 2E'-9,21:02:12,SW,10°,7
FLOCK 2P-8,21:02:19,SSE,10°,6.2
TIGRISAT,21:02:26,NE,10°,7
FLOCK 3P-25,21:03:09,SSE,10°,6.3
DIDO-2,21:03:16,SSE,10°,6.3
NUDTSAT,21:03:29,SSE,10°,6.4
OBJECT A,21:03:43,SSE,10°,6.5
FLOCK 3P-23,21:04:15,SSE,10°,6.3
TERRA,21:04:56,SE,10°,3.8
TERRA,21:04:56,SE,10°,3.8
TERRA,21:04:56,SE,10°,3.8
HAVELSAT,21:05:05,WNW,10°,8.4
FLOCK 3P-21,21:05:11,SSE,10°,6.3
FLOCK 2E-5,21:05:29,WNW,10°,8.3
SL-16 R/B,21:05:30,SW,10°,5.3
SL-16 R/B,21:05:30,SW,10°,5.3
FLOCK 2E-6,21:05:59,W,10°,7.8
FLOCK 3P-54,21:06:01,SSE,10°,6.3
IRIDIUM 12,21:06:19,NNW,10°,9.2
FLOCK 3P-26,21:06:36,SSE,10°,6.3
IRIDIUM 82,21:07:23,NNE,10°,8.4
CZ-11 R/B,21:08:16,SE,10°,7.2
FLOCK 2E'-10,21:08:29,WSW,10°,7.4
LEMUR-2-SATCHMO,21:08:29,SSE,10°,6.3
FLOCK 3P-19,21:08:30,SSE,10°,6.3
COSMOS 1833,21:08:31,SSE,12°,6.3
COSMOS 1833,21:08:31,SSE,12°,6.3
LEMUR-2-KEVIN,21:08:43,W,10°,8.5
FLOCK 2E-11,21:08:58,WSW,10°,7.7
AOXIANG-1,21:09:15,WNW,10°,8.4
LEMUR-2-ROCKETJONAH,21:09:19,W,10°,8.5
SL-8 R/B,21:09:27,NNE,10°,5.1
SL-8 R/B,21:09:27,NNE,10°,5.1
LEMUR-2-XUENITERENCE,21:09:29,S,10°,6.5
SL-16 R/B,21:09:43,NW,10°,6.3
SL-16 R/B,21:09:43,NW,10°,6.3
FLOCK 3P-56,21:09:49,SSE,10°,6.3
FLOCK 3P-13,21:10:09,SSE,10°,6.3
FLOCK 2P-4,21:10:11,SSE,10°,6.3
FLOCK 3P-39,21:10:24,SSE,10°,6.3
AEROCUBE 8D,21:10:47,E,10°,6.4
LEMUR-2-YONGLIN,21:10:51,W,10°,8.4
LEMUR-2-LIU-POU-CHUN,21:11:07,W,10°,8.4
STRAND-1,21:11:24,N,10°,8.3
APRIZESAT 9,21:11:46,NNE,10°,7.5
APRIZESAT 9,21:11:46,NNE,10°,7.5
LEMUR-2-NOGUECORREIG,21:11:53,SSE,10°,6.3
SL-16 R/B,21:11:56,NNW,10°,6
SL-16 R/B,21:11:56,NNW,10°,6
IRIDIUM 80,21:11:57,NNE,10°,8.7
AALTO-1,21:11:59,S,10°,6.6
INTERCOSMOS 24,21:12:06,NW,10°,10.4
AIST-2,21:12:12,NW,10°,8.5
DIWATA-1,21:12:12,WNW,10°,8.3
FLOCK 3P-40,21:12:30,SSE,10°,6.3
CANX-7,21:12:43,SSE,10°,6.9
INTERCOSMOS 25,21:12:53,N,10°,9.1
OBJECT U,21:12:53,SSE,10°,5.8
LEMUR-1,21:13:19,NE,11°,7
FLOCK 3P-38,21:13:36,SSE,10°,6.3
NAYIF-1 (EO-88),21:13:51,SSE,10°,6.3
THOR AGENA D R/B,21:14:25,NNW,10°,7.3
THOR AGENA D R/B,21:14:25,NNW,10°,7.3
AKARI (ASTRO-F),21:14:49,NNE,10°,7.4
AKARI (ASTRO-F),21:14:49,NNE,10°,7.4
SL-16 R/B,21:14:57,NW,10°,6.7
SL-16 R/B,21:14:57,NW,10°,6.7
STARLETTE,21:15:18,WNW,10°,12.9
STARLETTE,21:15:18,WNW,10°,12.9
LEMUR-2-ROBMOORE,21:15:27,SSW,10°,6.7
FLOCK 2P-6,21:15:34,SSE,10°,6.3
IRIDIUM 13,21:15:36,NNW,10°,9.3
FLOCK 3P-63,21:15:37,SSE,10°,6.4
IRIDIUM 39,21:16:36,NNE,14°,8.4
GOES 15,21:17:00,SSW,34°,13.3
GOES 14,21:17:00,SSE,33°,12.9
GOES 16,21:17:00,SE,19°,12.8
GOES 13,21:17:00,ESE,12°,12.9
X-CUBESAT,21:17:25,WNW,10°,8.3
FLOCK 3P-45,21:17:26,SSE,10°,6.4
FLOCK 3P-15,21:17:26,SSE,10°,6.4
TIANTUO 2,21:17:43,ENE,10°,6.1
TIANTUO 2,21:17:43,ENE,10°,6.1
IRIDIUM 911,21:18:31,NNW,10°,9.3
LEMUR-2-SHAINAJOHL,21:18:35,S,10°,6.6
FLOCK 3P-64,21:18:39,SSE,10°,6.4
COSMOS 1867,21:18:44,NNW,10°,7.5
COSMOS 1867,21:18:44,NNW,10°,7.5
LEMUR-2-MIA-GRACE,21:18:44,SSE,10°,6.4
SUPERVIEW-1 04,21:18:49,SE,10°,6.2
FLOCK 3P-22,21:18:59,SSE,10°,6.4
AL-FARABI 1,21:19:05,SSE,10°,6.4
DELLINGR (RBLE),21:19:05,WNW,10°,8.3
ANTELSAT,21:19:14,NE,13°,7
FLOCK 3P-27,21:19:22,SSE,10°,6.4
BRITE-AUSTRIA,21:19:27,NNW,10°,8.4
BRITE-AUSTRIA,21:19:27,NNW,10°,8.4
ECAMSAT,21:19:43,WNW,10°,8.3
COLUMBIA,21:19:59,WNW,10°,8
FLOCK 3P-41,21:20:05,SSE,10°,6.4
FLOCK 2E'-15,21:20:07,WNW,10°,8.2
IRIDIUM 98,21:21:00,NNE,11°,8.3
SGSAT,21:21:05,WNW,10°,8.1
FLOCK 3P-61,21:21:16,SSE,10°,6.4
E-ST@R-II,21:21:19,SSW,10°,7.3
SKCUBE,21:21:22,S,10°,6.6
BGUSAT,21:21:38,SSE,10°,6.4
FLOCK 3P-44,21:21:53,SSE,10°,6.4
IRIDIUM 18,21:22:27,NNE,12°,8.1
FLOCK 3P-42,21:22:29,S,10°,6.4
OBJECT R,21:22:44,W,10°,8.4
OBJECT P,21:22:56,W,10°,8.4
SIMPL,21:22:58,WNW,10°,8.3
COSMOS 2436 [GLONASS-M],21:23:16,NW,10°,14.1
FLOCK 3P-46,21:23:54,S,10°,6.4
FLOCK 3P-67,21:24:09,S,10°,6.4
FLOCK 3P-80,21:24:36,S,10°,6.4
IRIDIUM 83,21:24:53,NNW,10°,8.9
FLOCK 3P-48,21:24:59,S,10°,6.4
AEROCUBE 8C,21:25:02,ESE,10°,6.3
UCLSAT,21:25:12,S,10°,6.7
SUCHAI,21:25:16,S,10°,6.7
CZ-2D DEB,21:25:31,SE,10°,6.2
OBJECT N,21:25:43,W,10°,8.4
AALTO-2,21:26:06,WNW,10°,8.2
FLOCK 3P-47,21:26:25,S,10°,6.5
LEMUR-2-MCCULLAGH,21:26:31,W,10°,8.3
IRIDIUM 920,21:26:36,N,10°,8.9
FLOCK 3P-43,21:27:10,S,10°,6.5
FLOCK 3P-49,21:27:24,S,10°,6.5
FLOCK 2P-11,21:27:35,S,10°,6.4
CSUNSAT 1,21:27:44,WNW,10°,8.2
IRIDIUM 43,21:27:44,NNW,10°,7.8
FLOCK 2E-4,21:27:56,W,10°,7.5
FLOCK 3P-50,21:28:07,S,10°,6.5
FORMOSAT-3 FM3,21:28:11,W,10°,12.1
FORMOSAT-3 FM3,21:28:11,W,10°,12.1
FORMOSAT-3 FM3,21:28:11,W,10°,12.1
LEMUR-2-DUNLOP,21:28:22,W,10°,8.3
LEMUR-2-BRIANDAVIE,21:28:24,W,10°,8.3
LITUANICASAT-2,21:28:31,S,10°,6.7
CHEFSAT,21:28:31,W,10°,8.3
EXOCUBE,21:28:53,NNE,10°,7.4
UNSW-ECO,21:29:01,WNW,10°,8.2
LEMUR-2-ROMACOSTE,21:29:18,W,10°,8.3
NJUST-1,21:29:37,WNW,10°,8.2
IRIDIUM 41,21:30:06,NNE,12°,8.3
LEMUR-2-MCPEAKE,21:30:11,S,10°,6.7
ASTEX 1,21:30:12,NNE,13°,6
ASTEX 1,21:30:12,NNE,13°,6
METOP-B,21:30:23,S,10°,6.9
METOP-B,21:30:23,S,10°,6.9
GSAT0102 (GALILEO-FM2),21:30:24,SSW,37°,12.4
CZ-2D DEB,21:30:44,SE,10°,6.3
H-2A R/B,21:30:46,S,10°,4.4
H-2A R/B,21:30:46,S,10°,4.4
FLOCK 3P-52,21:31:06,S,10°,6.5
SWAS,21:31:12,SW,10°,7.9
SWAS,21:31:12,SW,10°,7.9
IRIDIUM 15,21:31:30,NNE,13°,8.7
SL-3 R/B,21:32:10,WNW,10°,8
SL-3 R/B,21:32:10,WNW,10°,8
LEMUR-2-SPIRE-MINIONS,21:32:10,S,10°,6.5
FLOCK 3P-30,21:32:28,S,10°,6.5
FLOCK 2E'-6,21:32:49,W,10°,7.7
SL-16 R/B,21:32:51,W,10°,6.5
SL-16 R/B,21:32:51,W,10°,6.5
QBITO,21:32:53,WNW,10°,8.2
ATLAS CENTAUR 2,21:33:05,SSW,10°,5.3
ATLAS CENTAUR 2,21:33:05,SSW,10°,5.3
FLOCK 3P-65,21:33:06,S,10°,6.5
IRIDIUM 40,21:33:25,NNW,10°,8.3
LINK,21:33:26,WNW,10°,8.1
FLOCK 3P-51,21:33:43,S,10°,6.5
IRIDIUM 86,21:34:16,NNW,10°,9.5
IRIDIUM 73,21:34:21,E,10°,6.9
AEROCUBE 7C,21:34:22,W,10°,8.3
AEROCUBE 7B,21:34:45,W,10°,8.3
FLOCK 2P-1,21:35:10,S,10°,6.5
TOKI,21:35:37,WNW,10°,8.1
FREGAT DEB [TANK],21:35:37,W,11°,8.5
FLOCK 3P-66,21:35:54,S,10°,6.5
FLOCK 2E'-1,21:35:57,WSW,10°,7
FLOCK 3P-68,21:36:35,S,10°,6.5
LEMUR-2-SAM-AMELIA,21:36:40,SSW,10°,6.8
METEOR 1-29,21:36:50,NNE,10°,6.3
METEOR 1-29,21:36:50,NNE,10°,6.3
FLOCK 3P-1,21:37:02,S,10°,6.6
FLOCK 3P-85,21:37:23,S,10°,6.5
FLOCK 2E'-13,21:37:24,WNW,10°,8
APRIZESAT 10,21:37:55,N,10°,8
APRIZESAT 10,21:37:55,N,10°,8
SL-8 R/B,21:38:01,S,10°,4.8
SL-8 R/B,21:38:01,S,10°,4.8
D-SAT,21:38:16,SSW,10°,6.9
FLOCK 3P-79,21:38:47,S,10°,6.6
COSMOS 2459 [GLONASS-M],21:38:48,SW,10°,12.9
FIREBIRD 4,21:39:29,NNE,10°,7.4
FLOCK 2P-12,21:39:34,S,10°,6.5
CZ-2D DEB,21:39:42,SSE,10°,6.3
